transaction_id,timestamp,customer_id,amount,currency,merchant,location,status
T100001,2024-10-01T12:00:01Z,C9321,125.5,USD,Amazon,NY,APPROVED
T100002,2024-10-01T12:00:02Z,C9921,980.1,USD,Walmart,CA,APPROVED
T100003,2024-10-01T12:00:03Z,C8821,15.75,USD,Starbucks,WA,APPROVED
T100004,2024-10-01T12:00:04Z,C1121,4200.0,USD,AppleStore,TX,REVIEW
T100005,2024-10-01T12:00:05Z,C2235,3.99,USD,McDonalds,FL,APPROVED
T100006,2024-10-01T12:00:06Z,C5562,1999.99,USD,BestBuy,MI,APPROVED
T100007,2024-10-01T12:00:07Z,C7742,8700.5,USD,Unknown,NY,SUSPICIOUS
T100008,2024-10-01T12:00:08Z,C4451,62.4,USD,Uber,NY,APPROVED
T100009,2024-10-01T12:00:09Z,C7812,1450.0,USD,HomeDepot,CA,APPROVED
T100010,2024-10-01T12:00:10Z,C3398,8.25,USD,Subway,NJ,APPROVED
T100011,2024-10-01T12:00:11Z,C9321,299.99,USD,Amazon,NY,APPROVED
T100012,2024-10-01T12:00:12Z,C1209,5200.0,USD,Tesla,CA,REVIEW
T100013,2024-10-01T12:00:13Z,C5562,49.95,USD,Steam,MI,APPROVED
T100014,2024-10-01T12:00:14Z,C7742,9100.0,USD,Unknown,NY,SUSPICIOUS
T100015,2024-10-01T12:00:15Z,C8890,120.0,USD,Nike,OR,APPROVED
T100016,2024-10-01T12:00:16Z,C6674,2300.0,USD,Delta,GA,APPROVED
T100017,2024-10-01T12:00:17Z,C4412,17.8,USD,Starbucks,CA,APPROVED
T100018,2024-10-01T12:00:18Z,C9921,2500.0,USD,Costco,CA,REVIEW
T100019,2024-10-01T12:00:19Z,C3356,4.5,USD,Dunkin,MA,APPROVED
T100020,2024-10-01T12:00:20Z,C9021,780.0,USD,Target,IL,APPROVED
T100021,2024-10-01T12:00:21Z,C1209,9800.0,USD,Unknown,CA,SUSPICIOUS
T100022,2024-10-01T12:00:22Z,C7812,35.99,USD,Spotify,CA,APPROVED
T100023,2024-10-01T12:00:23Z,C2235,12.49,USD,McDonalds,FL,APPROVED
T100024,2024-10-01T12:00:24Z,C6674,410.75,USD,Airbnb,CO,APPROVED
T100025,2024-10-01T12:00:25Z,C3398,6000.0,USD,AppleStore,TX,REVIEW
T100026,2024-10-01T12:00:26Z,C4510,89.6,USD,Lyft,CA,APPROVED
T100027,2024-10-01T12:00:27Z,C7781,1340.25,USD,Wayfair,UT,APPROVED
T100028,2024-10-01T12:00:28Z,C9021,6.75,USD,Starbucks,IL,APPROVED
T100029,2024-10-01T12:00:29Z,C3356,220.0,USD,Sephora,NY,APPROVED
T100030,2024-10-01T12:00:30Z,C1209,15000.0,USD,Unknown,CA,SUSPICIOUS
T100031,2024-10-01T12:00:31Z,C4412,59.99,USD,Netflix,CA,APPROVED
T100032,2024-10-01T12:00:32Z,C6674,3100.0,USD,UnitedAirlines,TX,APPROVED
T100033,2024-10-01T12:00:33Z,C7812,18.45,USD,Chipotle,CA,APPROVED
T100034,2024-10-01T12:00:34Z,C5562,2499.0,USD,Dell,MI,REVIEW
T100035,2024-10-01T12:00:35Z,C8890,95.0,USD,Adidas,OR,APPROVED
T100036,2024-10-01T12:00:36Z,C2235,7.25,USD,BurgerKing,FL,APPROVED
T100037,2024-10-01T12:00:37Z,C7742,10250.75,USD,Unknown,NY,SUSPICIOUS
T100038,2024-10-01T12:00:38Z,C3398,450.0,USD,REI,WA,APPROVED
T100039,2024-10-01T12:00:39Z,C4510,1200.0,USD,Expedia,CA,APPROVED
T100040,2024-10-01T12:00:40Z,C9921,5400.0,USD,Costco,CA,REVIEW
T100041,2024-10-01T12:00:41Z,C9021,14.99,USD,Apple,IL,APPROVED
T100042,2024-10-01T12:00:42Z,C7781,875.5,USD,Lowes,UT,APPROVED
T100043,2024-10-01T12:00:43Z,C1121,60.0,USD,UberEats,TX,APPROVED
T100044,2024-10-01T12:00:44Z,C4412,3200.0,USD,Booking,CA,REVIEW
T100045,2024-10-01T12:00:45Z,C3356,9.99,USD,Amazon,NY,APPROVED
